step,mse
0,5.00802300e-04
1,2.51270528e-03
2,7.18146609e-03
3,1.60964318e-02
4,3.12011167e-02
5,5.45748770e-02
6,8.83287117e-02
7,1.34564862e-01
8,1.95553362e-01
9,2.73783237e-01
10,3.71555567e-01
11,4.90450621e-01
12,6.30718052e-01
13,7.91030586e-01
14,9.68643427e-01
15,1.15940404e+00
16,1.35793269e+00
17,1.55799174e+00
18,1.75534761e+00
19,1.95007598e+00
20,2.14580083e+00
21,2.35179758e+00
22,2.58197904e+00
23,2.84930611e+00
24,3.16029716e+00
25,3.51108646e+00
26,3.89333034e+00
27,4.30597973e+00
28,4.75463390e+00
29,5.25046396e+00
30,5.81150627e+00
31,6.46858168e+00
32,7.27383471e+00
33,8.30758667e+00
34,9.69106865e+00
35,1.16264048e+01
36,1.45080433e+01
37,1.92570591e+01
38,2.87456055e+01
39,5.72522011e+01
