epoch,seconds,horizon,fallback_batches,train_loss,train_pred_mse,val_full_rel_l2,test_full_rel_l2,lr,params
0,13.563604,1,0,7.64536146e-02,1.84767856e-02,1.30226496e+00,1.28885324e+00,5.00000000e-04,745342
1,11.604867,1,0,1.69538963e-02,1.20130139e-02,8.63922648e-01,8.59240365e-01,5.00000000e-04,745342
2,10.949039,1,0,1.23032429e-02,9.87511908e-03,8.87365918e-01,8.83593493e-01,5.00000000e-04,745342
3,11.387663,1,0,1.12010687e-02,9.01690064e-03,8.16149740e-01,8.13827705e-01,5.00000000e-04,745342
4,10.637900,1,0,1.05376026e-02,8.54743739e-03,7.93754632e-01,7.92837341e-01,5.00000000e-04,745342
5,10.903303,1,0,1.00227294e-02,8.22813468e-03,7.43953493e-01,7.43692424e-01,5.00000000e-04,745342
6,12.998739,1,0,9.62107077e-03,8.02659578e-03,7.15057318e-01,7.16213830e-01,5.00000000e-04,745342
7,13.041535,1,0,9.30756755e-03,7.90255205e-03,7.32495306e-01,7.30899196e-01,5.00000000e-04,745342
8,11.143812,1,0,8.98854635e-03,7.74648415e-03,7.21185827e-01,7.17785842e-01,5.00000000e-04,745342
9,13.071585,1,0,8.79415905e-03,7.67678770e-03,7.37248790e-01,7.34471085e-01,5.00000000e-04,745342
10,10.744805,1,0,8.60202557e-03,7.57111988e-03,6.93157120e-01,6.90172842e-01,5.00000000e-04,745342
11,9.855613,1,0,8.52723571e-03,7.55552238e-03,7.88892729e-01,7.84045122e-01,5.00000000e-04,745342
12,11.104350,1,0,8.39993306e-03,7.47334855e-03,7.15903239e-01,7.14355466e-01,5.00000000e-04,745342
13,10.166989,1,0,8.32604284e-03,7.43445307e-03,7.25690544e-01,7.21998901e-01,5.00000000e-04,745342
14,11.449911,1,0,8.23403107e-03,7.37342229e-03,6.99082749e-01,6.92805178e-01,5.00000000e-04,745342
15,12.492631,1,0,8.19867275e-03,7.36562897e-03,6.95310764e-01,6.91126969e-01,5.00000000e-04,745342
16,10.792424,1,0,8.11782311e-03,7.31264277e-03,6.81825740e-01,6.82524521e-01,5.00000000e-04,745342
17,11.453892,1,0,7.99382183e-03,7.21630941e-03,7.00703216e-01,6.96769609e-01,5.00000000e-04,745342
18,13.393006,1,0,7.87981266e-03,7.12849982e-03,6.94706488e-01,6.88834798e-01,5.00000000e-04,745342
19,11.193260,1,0,7.83502854e-03,7.10501360e-03,6.82625322e-01,6.78572667e-01,5.00000000e-04,745342
20,12.512065,1,0,7.76490498e-03,7.05672253e-03,6.78039808e-01,6.75605731e-01,5.00000000e-04,745342
21,10.746895,1,0,7.72802189e-03,7.04312339e-03,7.12932496e-01,7.02945762e-01,5.00000000e-04,745342
22,10.377568,1,0,7.57270775e-03,6.91127331e-03,7.00573587e-01,6.91880753e-01,5.00000000e-04,745342
23,10.942611,1,0,7.47176491e-03,6.83065763e-03,6.87546530e-01,6.80994294e-01,5.00000000e-04,745342
