epoch,seconds,horizon,fallback_batches,train_loss,train_pred_mse,val_full_rel_l2,test_full_rel_l2,lr,params
0,9.372595,1,0,4.01786215e-01,1.07139917e-04,,9.86424387e-02,5.00000000e-05,745342
1,9.073883,1,0,4.36942183e-02,8.41849436e-05,,8.17563549e-02,5.00000000e-05,745342
2,9.101730,1,0,2.26788224e-03,7.13080220e-05,,7.80487117e-02,5.00000000e-05,745342
3,13.167673,1,0,1.00913630e-03,6.26729025e-05,,7.44175524e-02,5.00000000e-05,745342
4,11.255437,1,0,6.76363782e-04,5.72514086e-05,,7.31957304e-02,5.00000000e-05,745342
5,9.623683,1,0,5.78072110e-04,5.34563078e-05,,7.11872298e-02,5.00000000e-05,745342
6,9.612549,1,0,5.27876949e-04,5.05301751e-05,,6.97731432e-02,5.00000000e-05,745342
7,10.318063,1,0,4.95445728e-04,4.83556258e-05,,6.82525283e-02,5.00000000e-05,745342
8,9.982753,1,0,4.71319966e-04,4.66288151e-05,,6.67944166e-02,5.00000000e-05,745342
9,8.396144,1,0,4.51294300e-04,4.53020890e-05,,6.62389511e-02,5.00000000e-05,745342
10,9.172057,1,0,4.33155164e-04,4.42080090e-05,,6.43451220e-02,5.00000000e-05,745342
11,8.888371,1,0,4.16268119e-04,4.33995187e-05,,6.35463065e-02,5.00000000e-05,745342
12,8.961518,1,0,4.00219123e-04,4.28397381e-05,,6.40835294e-02,5.00000000e-05,745342
13,8.517942,1,0,3.84689393e-04,4.24287815e-05,,6.42427778e-02,5.00000000e-05,745342
14,8.555952,1,0,3.69611134e-04,4.20794734e-05,,6.09038553e-02,5.00000000e-05,745342
15,9.568158,1,0,3.55003736e-04,4.18252220e-05,,6.08160654e-02,5.00000000e-05,745342
16,8.742698,1,0,3.40736900e-04,4.16136951e-05,,6.00321659e-02,5.00000000e-05,745342
17,8.465636,1,0,3.26924496e-04,4.15057487e-05,,6.00306776e-02,5.00000000e-05,745342
18,9.186778,1,0,3.13350968e-04,4.14600389e-05,,5.98108801e-02,5.00000000e-05,745342
19,9.002337,1,0,3.00278251e-04,4.14640377e-05,,6.26298577e-02,5.00000000e-05,745342
20,9.308881,1,0,2.87077014e-04,4.14177298e-05,,5.97959435e-02,5.00000000e-05,745342
21,9.343612,1,0,2.74445708e-04,4.14195204e-05,,6.04686567e-02,5.00000000e-05,745342
22,8.389354,1,0,2.62041525e-04,4.14092916e-05,,5.92961779e-02,5.00000000e-05,745342
23,9.251370,1,0,2.49899241e-04,4.13709662e-05,,5.93098757e-02,5.00000000e-05,745342
24,8.548819,1,0,2.38423951e-04,4.14220737e-05,,6.02169505e-02,5.00000000e-05,745342
25,8.519467,1,0,2.27359887e-04,4.14188890e-05,,5.93597001e-02,5.00000000e-05,745342
26,9.579328,1,0,2.17250718e-04,4.15361594e-05,,5.93401733e-02,5.00000000e-05,745342
27,9.190731,1,0,2.07706593e-04,4.15636427e-05,,5.93581975e-02,5.00000000e-05,745342
28,9.274572,1,0,1.99455760e-04,4.16958487e-05,,5.95774490e-02,5.00000000e-05,745342
29,9.313438,1,0,1.91847879e-04,4.17496510e-05,,5.97250155e-02,5.00000000e-05,745342
30,8.553392,1,0,1.85281466e-04,4.18491317e-05,,6.08875224e-02,5.00000000e-05,745342
31,9.513180,1,0,1.79584693e-04,4.19515986e-05,,6.02640545e-02,5.00000000e-05,745342
