step,mse
0,3.00271113e-05
1,9.83411373e-05
2,1.79487732e-04
3,2.57158477e-04
4,3.23401182e-04
5,3.78021970e-04
6,4.23682272e-04
7,4.63039119e-04
8,4.98470094e-04
9,5.32127975e-04
10,5.65374794e-04
11,5.98559098e-04
12,6.32220297e-04
13,6.65787840e-04
14,6.99181575e-04
15,7.31525652e-04
16,7.62243522e-04
17,7.90679827e-04
18,8.16999178e-04
19,8.41299829e-04
20,8.64184287e-04
21,8.86461232e-04
22,9.08766291e-04
23,9.32097202e-04
24,9.57298442e-04
25,9.85272811e-04
26,1.01659750e-03
27,1.05233537e-03
28,1.09325675e-03
29,1.14031998e-03
30,1.19480328e-03
31,1.25796150e-03
32,1.33110886e-03
33,1.41563895e-03
34,1.51303725e-03
35,1.62439363e-03
36,1.75111415e-03
37,1.89431722e-03
38,2.05490878e-03
39,2.23385985e-03
