step,mse
0,8.72754608e-05
1,3.24153720e-04
2,6.66434295e-04
3,1.07448315e-03
4,1.51625334e-03
5,1.97350397e-03
6,2.43803393e-03
7,2.90733902e-03
8,3.38090677e-03
9,3.85851390e-03
10,4.33649728e-03
11,4.81450697e-03
12,5.29317185e-03
13,5.77230705e-03
14,6.25298265e-03
15,6.73547527e-03
16,7.22043170e-03
17,7.70803448e-03
18,8.19881540e-03
19,8.69270787e-03
20,9.18993726e-03
21,9.69069079e-03
22,1.01947049e-02
23,1.07020168e-02
24,1.12124300e-02
25,1.17257759e-02
26,1.22415340e-02
27,1.27597358e-02
28,1.32799419e-02
29,1.38018131e-02
30,1.43252341e-02
31,1.48499021e-02
32,1.53754614e-02
33,1.59016009e-02
34,1.64280571e-02
35,1.69541016e-02
36,1.74793694e-02
37,1.80031694e-02
38,1.85246076e-02
39,1.90429315e-02
