epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,params,lr
0,206.981902,7.00485091e-01,7.16576408e-01,5.78906189e-01,6.11388476e-01,1.85324103e+01,9.30551723e-02,1.31073837e+01,1.08477842e-02,696705,5.00000000e-04
1,214.029379,5.50373573e-01,5.85874453e-01,5.22935848e-01,5.61886113e-01,1.20123616e+01,7.55973615e-03,1.10706450e+01,9.69506249e-03,696705,5.00000000e-04
2,205.323430,4.12476950e-01,4.37872883e-01,3.31118714e-01,3.42760438e-01,6.88346631e+00,3.05195279e-02,4.16665435e+00,2.84389796e-02,696705,5.00000000e-04
3,204.914450,3.01566646e-01,3.15665599e-01,2.53995122e-01,2.67861884e-01,3.56183626e+00,1.60803209e-02,2.55952115e+00,8.61956764e-03,696705,5.00000000e-04
4,206.586467,2.58061247e-01,2.71476889e-01,2.33562983e-01,2.44056417e-01,2.63374324e+00,9.06501416e-03,2.11484869e+00,9.33354322e-03,696705,5.00000000e-04
5,215.300368,2.39852517e-01,2.52428809e-01,2.13629824e-01,2.23213768e-01,2.28046922e+00,8.62592119e-03,1.76857387e+00,8.52841415e-03,696705,5.00000000e-04
6,214.683555,2.20009841e-01,2.30858595e-01,2.11435713e-01,2.23417950e-01,1.90311819e+00,8.47788067e-03,1.77160305e+00,8.02476265e-03,696705,5.00000000e-04
7,205.791166,2.09118235e-01,2.19078752e-01,1.96771943e-01,2.05556231e-01,1.71196990e+00,8.07886483e-03,1.49647788e+00,7.95178287e-03,696705,5.00000000e-04
8,205.433472,1.93041230e-01,2.02582774e-01,1.94192769e-01,2.06427894e-01,1.46294603e+00,7.30808894e-03,1.52117350e+00,6.82667531e-03,696705,5.00000000e-04
9,205.263091,1.90926342e-01,2.01250186e-01,1.81341070e-01,1.90673227e-01,1.45036494e+00,5.95627820e-03,1.28796794e+00,4.72259648e-03,696705,5.00000000e-04
10,205.640318,1.79771586e-01,1.89280613e-01,1.88950854e-01,2.00340478e-01,1.27664786e+00,4.63194980e-03,1.42814606e+00,3.97666067e-03,696705,5.00000000e-04
11,204.886743,1.72859919e-01,1.82883443e-01,1.57031035e-01,1.65848869e-01,1.19453779e+00,3.63993545e-03,9.71758488e-01,3.38758389e-03,696705,5.00000000e-04
12,207.564212,1.91979125e-01,2.04423535e-01,1.77221980e-01,1.88446184e-01,1.76170981e+00,7.63705956e-03,1.26413792e+00,3.78553145e-03,696705,5.00000000e-04
13,205.764490,1.69799582e-01,1.80903796e-01,1.53392452e-01,1.62234462e-01,1.16974425e+00,3.21906443e-03,9.34264597e-01,2.99302305e-03,696705,5.00000000e-04
14,206.677282,1.55365423e-01,1.64629472e-01,1.54876676e-01,1.64398052e-01,9.67229634e-01,3.38488082e-03,9.60978168e-01,3.79525980e-03,696705,5.00000000e-04
15,205.663505,1.49225705e-01,1.58262721e-01,1.37701714e-01,1.45189638e-01,8.93309128e-01,3.48773744e-03,7.46469304e-01,3.51675669e-03,696705,5.00000000e-04
16,205.428386,1.43602015e-01,1.52783231e-01,1.47765357e-01,1.59323788e-01,8.34785528e-01,3.65247428e-03,9.03876045e-01,3.82284151e-03,696705,5.00000000e-04
17,205.176432,1.45874184e-01,1.56290139e-01,1.42926884e-01,1.53946990e-01,8.76954137e-01,3.61872461e-03,8.42112634e-01,4.08088975e-03,696705,5.00000000e-04
18,205.382748,1.37168546e-01,1.46465801e-01,1.43214643e-01,1.54115880e-01,7.68748121e-01,3.67330948e-03,8.44887561e-01,3.83288305e-03,696705,5.00000000e-04
19,205.958880,1.32970673e-01,1.41727842e-01,1.19552130e-01,1.27192667e-01,7.22010981e-01,3.76572586e-03,5.76119417e-01,3.50099754e-03,696705,5.00000000e-04
20,205.452412,1.35067629e-01,1.44152387e-01,1.37717868e-01,1.47846531e-01,7.46482242e-01,3.70062543e-03,7.82232875e-01,3.71823500e-03,696705,5.00000000e-04
21,208.370696,1.30247885e-01,1.38934522e-01,1.33859235e-01,1.44043021e-01,6.95637529e-01,3.67028911e-03,7.39821199e-01,4.35661476e-03,696705,5.00000000e-04
22,206.027267,1.32191061e-01,1.41638692e-01,1.27349393e-01,1.35801240e-01,7.22073987e-01,3.56239349e-03,6.60362989e-01,3.33205146e-03,696705,5.00000000e-04
23,207.123372,1.24995157e-01,1.34161538e-01,1.27331721e-01,1.37234772e-01,6.47666518e-01,3.49793709e-03,6.69077927e-01,3.39767842e-03,696705,5.00000000e-04
24,205.936813,1.19855931e-01,1.27781817e-01,1.15099782e-01,1.22911939e-01,5.85548283e-01,3.50629073e-03,5.38289841e-01,3.32447882e-03,696705,5.00000000e-04
25,206.482178,1.18858004e-01,1.26973991e-01,1.22445129e-01,1.29341971e-01,5.83439446e-01,3.35646506e-03,6.10629176e-01,3.22812096e-03,696705,5.00000000e-04
26,205.863671,1.14854646e-01,1.22316999e-01,1.05287914e-01,1.11440700e-01,5.36724106e-01,3.09907672e-03,4.41962317e-01,3.07268611e-03,696705,5.00000000e-04
27,205.234856,1.18811013e-01,1.27553126e-01,1.10036177e-01,1.17580403e-01,5.89832366e-01,2.77833592e-03,4.93257976e-01,2.61746215e-03,696705,5.00000000e-04
28,206.513395,1.16848380e-01,1.25520670e-01,1.26966545e-01,1.39352896e-01,5.74061799e-01,2.62355096e-03,6.94623557e-01,2.23301153e-03,696705,5.00000000e-04
29,205.101374,1.12019004e-01,1.19588905e-01,1.13735805e-01,1.22138441e-01,5.13697025e-01,2.35847072e-03,5.31346940e-01,2.02857498e-03,696705,5.00000000e-04
30,206.405845,1.12917897e-01,1.21468301e-01,1.00729623e-01,1.07654189e-01,5.33515408e-01,2.13358342e-03,4.10721879e-01,1.86524011e-03,696705,5.00000000e-04
31,205.547713,1.05743339e-01,1.12452533e-01,1.04892670e-01,1.12107294e-01,4.53593318e-01,2.01373681e-03,4.47206135e-01,1.90745260e-03,696705,5.00000000e-04
32,205.738882,1.06451676e-01,1.13863417e-01,1.03161992e-01,1.08453691e-01,4.67343424e-01,1.87611957e-03,4.18928018e-01,1.92876773e-03,696705,5.00000000e-04
33,207.107762,1.07665745e-01,1.15445705e-01,9.59585562e-02,1.03081492e-01,4.84790321e-01,1.81637987e-03,3.80331165e-01,1.79148369e-03,696705,5.00000000e-04
34,206.317143,1.05077447e-01,1.12960670e-01,1.00108032e-01,1.07032949e-01,4.62540378e-01,1.78985206e-03,4.08565894e-01,1.81353411e-03,696705,5.00000000e-04
35,205.923116,1.08062073e-01,1.15735764e-01,9.90369496e-02,1.04983602e-01,4.84353538e-01,1.79949155e-03,3.95949915e-01,1.60244073e-03,696705,5.00000000e-04
36,209.143610,9.76293345e-02,1.03930537e-01,1.11848340e-01,1.19829107e-01,3.86286449e-01,1.75079522e-03,5.10666384e-01,1.77991814e-03,696705,5.00000000e-04
37,206.555720,1.01111613e-01,1.07888406e-01,1.21323494e-01,1.31335483e-01,4.19546636e-01,1.73164899e-03,6.24585575e-01,1.72598223e-03,696705,5.00000000e-04
