epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,params,lr
0,488.591831,7.60500316e-01,7.60758168e-01,2.70904734e-01,2.71427468e-01,2.64275495e+01,1.83294268e-01,3.21833950e+00,3.98904639e-01,696705,5.00000000e-05
1,488.209661,1.07215985e-01,1.07992030e-01,1.01278883e-01,1.02051988e-01,5.76964673e-01,1.76891967e-01,4.82389013e-01,2.32998349e-03,696705,5.00000000e-05
2,493.509009,9.20825896e-02,9.25186790e-02,8.62717338e-02,8.65725237e-02,4.01016068e-01,1.58301787e-03,3.47023365e-01,1.20663057e-03,696705,5.00000000e-05
3,488.909981,7.83222133e-02,7.90412627e-02,7.62525358e-02,7.73238924e-02,2.82536913e-01,8.63401162e-04,2.66900808e-01,6.89332346e-04,696705,5.00000000e-05
4,488.274657,7.53168170e-02,7.65198496e-02,7.54272373e-02,7.66680548e-02,2.59373391e-01,5.85254723e-04,2.60330714e-01,5.39443411e-04,696705,5.00000000e-05
5,489.146331,7.47545864e-02,7.60988147e-02,7.49244912e-02,7.61531889e-02,2.55827682e-01,4.82992536e-04,2.57206053e-01,4.67568069e-04,696705,5.00000000e-05
6,489.636418,7.44467269e-02,7.57917620e-02,7.45748727e-02,7.59276775e-02,2.54042141e-01,4.25928545e-04,2.54675158e-01,4.07759972e-04,696705,5.00000000e-05
7,490.254742,7.38336713e-02,7.52162778e-02,7.66766579e-02,7.81035355e-02,2.49932298e-01,3.77591937e-04,2.67925837e-01,3.87965811e-04,696705,5.00000000e-05
8,490.237295,7.30927300e-02,7.45479570e-02,7.36796215e-02,7.51074430e-02,2.45221832e-01,3.29576028e-04,2.48573337e-01,3.23029843e-04,696705,5.00000000e-05
9,490.011355,7.20132237e-02,7.35594003e-02,7.18694577e-02,7.33484593e-02,2.38519399e-01,2.88160657e-04,2.38225684e-01,2.82735780e-04,696705,5.00000000e-05
10,489.995553,7.09894582e-02,7.26131099e-02,7.09440176e-02,7.24736312e-02,2.32034152e-01,2.65284354e-04,2.32493387e-01,2.68788052e-04,696705,5.00000000e-05
11,489.934231,6.84662377e-02,7.00357163e-02,6.72782464e-02,6.88056245e-02,2.15668130e-01,4.16477179e-04,2.06518821e-01,5.54804835e-04,696705,5.00000000e-05
12,489.282843,6.23983784e-02,6.38063372e-02,6.08528960e-02,6.22001457e-02,1.78330510e-01,6.30682890e-04,1.69014459e-01,5.69128185e-04,696705,5.00000000e-05
13,491.525387,5.78272396e-02,5.92688995e-02,5.64490683e-02,5.79491708e-02,1.53889755e-01,5.34511811e-04,1.46005675e-01,3.81893669e-04,696705,5.00000000e-05
14,491.183297,5.06559335e-02,5.21380656e-02,4.60349214e-02,4.74752437e-02,1.19574095e-01,4.12043211e-04,9.95475505e-02,5.31367478e-04,696705,5.00000000e-05
15,492.284502,4.60980562e-02,4.75381660e-02,4.46462592e-02,4.61083253e-02,1.00704198e-01,5.24982098e-04,9.52100817e-02,5.41799625e-04,696705,5.00000000e-05
16,490.251628,4.48535547e-02,4.63070117e-02,4.75349517e-02,4.87693152e-02,9.61195669e-02,5.51973576e-04,1.08867022e-01,5.45638357e-04,696705,5.00000000e-05
17,489.784374,4.48625488e-02,4.62575797e-02,4.29370650e-02,4.44414501e-02,9.62124000e-02,5.65228287e-04,8.92887402e-02,5.79458340e-04,696705,5.00000000e-05
18,490.587265,4.35633329e-02,4.49668156e-02,4.88103538e-02,5.00725403e-02,9.07818602e-02,5.69336888e-04,1.09803543e-01,6.35577580e-04,696705,5.00000000e-05
19,490.360649,4.27732870e-02,4.41520423e-02,4.26318623e-02,4.40103002e-02,8.78841885e-02,5.81641034e-04,8.72145809e-02,6.00346439e-04,696705,5.00000000e-05
20,490.030429,4.23727418e-02,4.37086134e-02,4.20724919e-02,4.34715195e-02,8.63626859e-02,5.84771186e-04,8.54391612e-02,6.15164021e-04,696705,5.00000000e-05
21,489.550625,4.29060195e-02,4.41803749e-02,4.19655594e-02,4.32573359e-02,8.76291361e-02,5.74200515e-04,8.45005583e-02,5.67032045e-04,696705,5.00000000e-05
22,490.582844,4.24390311e-02,4.37005001e-02,4.48254775e-02,4.60732414e-02,8.63901118e-02,5.71088020e-04,9.37592164e-02,6.20212844e-04,696705,5.00000000e-05
23,490.424490,4.23590049e-02,4.35965199e-02,4.22232981e-02,4.33779489e-02,8.57993372e-02,5.67592485e-04,8.46285861e-02,5.28247780e-04,696705,5.00000000e-05
24,491.908514,4.28226607e-02,4.40148546e-02,4.19667680e-02,4.32422701e-02,8.73555492e-02,5.59080177e-04,8.39626810e-02,5.96679016e-04,696705,5.00000000e-05
25,491.467538,4.24583076e-02,4.36557340e-02,4.19242332e-02,4.31659082e-02,8.62873861e-02,5.58103896e-04,8.45081791e-02,5.81651055e-04,696705,5.00000000e-05
26,489.751371,4.19136755e-02,4.31066607e-02,4.15732623e-02,4.27500173e-02,8.39866448e-02,5.53312189e-04,8.36847732e-02,5.42864890e-04,696705,5.00000000e-05
27,489.782846,4.17679077e-02,4.29426231e-02,4.18805221e-02,4.30028692e-02,8.30189020e-02,5.49295314e-04,8.46903266e-02,5.21540700e-04,696705,5.00000000e-05
28,489.940919,4.17199226e-02,4.28741500e-02,4.17521209e-02,4.29034369e-02,8.31056929e-02,5.54017653e-04,8.38689642e-02,5.57789013e-04,696705,5.00000000e-05
29,490.791677,4.24465768e-02,4.35752245e-02,4.41111267e-02,4.51585947e-02,8.57482349e-02,5.41466263e-04,9.46382435e-02,4.99459789e-04,696705,5.00000000e-05
30,490.287667,4.27335653e-02,4.38587253e-02,4.14704934e-02,4.26170895e-02,8.67960896e-02,5.34681768e-04,8.11748389e-02,5.30655435e-04,696705,5.00000000e-05
31,489.604076,4.19109165e-02,4.30608082e-02,4.14262053e-02,4.25484341e-02,8.38291076e-02,5.31413368e-04,8.25846953e-02,5.17399919e-04,696705,5.00000000e-05
32,489.721957,4.19294073e-02,4.30881429e-02,4.25810821e-02,4.36946914e-02,8.40949177e-02,5.30472583e-04,8.93011276e-02,5.20846448e-04,696705,5.00000000e-05
33,490.481632,4.10895632e-02,4.22407614e-02,4.09747001e-02,4.21673727e-02,8.09190914e-02,5.22950978e-04,7.97324767e-02,5.53924025e-04,696705,5.00000000e-05
34,490.307461,4.12484658e-02,4.23858972e-02,4.21072196e-02,4.31933191e-02,8.12452444e-02,5.17451187e-04,8.61073958e-02,4.84065301e-04,696705,5.00000000e-05
