step,mse
0,3.97779368e-05
1,1.00070320e-04
2,1.71863459e-04
3,2.52527534e-04
4,3.35971388e-04
5,4.17595555e-04
6,4.93418192e-04
7,5.58355125e-04
8,6.07264810e-04
9,6.38543861e-04
10,6.51948387e-04
11,6.50399190e-04
12,6.37665100e-04
13,6.17085549e-04
14,5.92226745e-04
15,5.65777998e-04
16,5.40213718e-04
17,5.17322216e-04
18,4.98493377e-04
19,4.84142685e-04
20,4.74441040e-04
21,4.69321356e-04
22,4.68231883e-04
23,4.70752071e-04
24,4.76388668e-04
25,4.84839111e-04
26,4.95635148e-04
27,5.08644036e-04
28,5.23412134e-04
29,5.39520988e-04
30,5.56734973e-04
31,5.74836216e-04
32,5.93755918e-04
33,6.13548560e-04
34,6.34370954e-04
35,6.56189455e-04
36,6.79445569e-04
37,7.04730104e-04
38,7.32809654e-04
39,7.64741446e-04
