nohup: ignoring input
epoch 0000 | 94.71s | train_full 5.688894e-01 | test_full 3.304545e-01
epoch 0001 | 90.65s | train_full 2.618425e-01 | test_full 1.976775e-01
epoch 0002 | 90.66s | train_full 2.078971e-01 | test_full 1.676136e-01
epoch 0003 | 89.44s | train_full 1.718679e-01 | test_full 1.612190e-01
epoch 0004 | 90.20s | train_full 1.566775e-01 | test_full 1.482630e-01
epoch 0005 | 89.64s | train_full 1.531803e-01 | test_full 1.219392e-01
epoch 0006 | 91.77s | train_full 1.400369e-01 | test_full 1.445139e-01
epoch 0007 | 90.40s | train_full 1.400803e-01 | test_full 1.486083e-01
epoch 0008 | 88.53s | train_full 1.317225e-01 | test_full 1.104581e-01
epoch 0009 | 86.94s | train_full 1.218567e-01 | test_full 1.130510e-01
epoch 0010 | 89.79s | train_full 1.181056e-01 | test_full 1.224852e-01
epoch 0011 | 89.10s | train_full 1.306749e-01 | test_full 1.389797e-01
epoch 0012 | 89.70s | train_full 1.231133e-01 | test_full 1.567619e-01
epoch 0013 | 90.59s | train_full 1.217776e-01 | test_full 1.155395e-01
epoch 0014 | 88.70s | train_full 1.120911e-01 | test_full 1.251402e-01
epoch 0015 | 88.61s | train_full 1.064241e-01 | test_full 1.048938e-01
epoch 0016 | 88.39s | train_full 1.088599e-01 | test_full 1.629497e-01
epoch 0017 | 90.31s | train_full 1.065413e-01 | test_full 9.579793e-02
epoch 0018 | 89.88s | train_full 1.009641e-01 | test_full 1.015954e-01
epoch 0019 | 90.89s | train_full 1.069057e-01 | test_full 1.102829e-01
epoch 0020 | 89.59s | train_full 1.025933e-01 | test_full 9.798927e-02
epoch 0021 | 93.02s | train_full 9.359763e-02 | test_full 8.118385e-02
epoch 0022 | 96.62s | train_full 9.185316e-02 | test_full 7.538921e-02
epoch 0023 | 94.57s | train_full 8.956061e-02 | test_full 9.019410e-02
epoch 0024 | 95.44s | train_full 8.906632e-02 | test_full 1.041802e-01
epoch 0025 | 96.71s | train_full 8.586417e-02 | test_full 1.012190e-01
epoch 0026 | 94.92s | train_full 9.412173e-02 | test_full 8.944461e-02
epoch 0027 | 95.43s | train_full 8.420169e-02 | test_full 6.642522e-02
epoch 0028 | 94.15s | train_full 8.311014e-02 | test_full 7.234814e-02
epoch 0029 | 95.70s | train_full 8.109002e-02 | test_full 1.049415e-01
epoch 0030 | 95.57s | train_full 7.821019e-02 | test_full 7.643686e-02
epoch 0031 | 94.83s | train_full 8.760140e-02 | test_full 1.086159e-01
epoch 0032 | 96.61s | train_full 8.805873e-02 | test_full 9.495763e-02
epoch 0033 | 95.82s | train_full 7.943298e-02 | test_full 6.649450e-02
epoch 0034 | 96.36s | train_full 8.110029e-02 | test_full 8.398625e-02
epoch 0035 | 95.41s | train_full 7.314167e-02 | test_full 6.425031e-02
epoch 0036 | 95.72s | train_full 6.877219e-02 | test_full 6.822696e-02
epoch 0037 | 96.63s | train_full 7.490527e-02 | test_full 6.974609e-02
epoch 0038 | 96.01s | train_full 7.126167e-02 | test_full 6.741782e-02
epoch 0039 | 95.98s | train_full 7.614794e-02 | test_full 7.663211e-02
epoch 0040 | 98.25s | train_full 6.814081e-02 | test_full 6.924856e-02
epoch 0041 | 95.95s | train_full 7.495704e-02 | test_full 8.940930e-02
epoch 0042 | 94.75s | train_full 8.774092e-02 | test_full 8.045287e-02
epoch 0043 | 96.33s | train_full 6.930232e-02 | test_full 7.958651e-02
epoch 0044 | 95.20s | train_full 6.731551e-02 | test_full 6.242289e-02
epoch 0045 | 94.26s | train_full 7.664439e-02 | test_full 6.021623e-02
epoch 0046 | 95.04s | train_full 7.061112e-02 | test_full 9.118885e-02
epoch 0047 | 93.74s | train_full 6.903356e-02 | test_full 5.523163e-02
epoch 0048 | 96.01s | train_full 6.856900e-02 | test_full 6.319500e-02
epoch 0049 | 96.17s | train_full 6.290195e-02 | test_full 5.467269e-02
epoch 0050 | 96.03s | train_full 6.740892e-02 | test_full 7.369007e-02
epoch 0051 | 96.46s | train_full 6.277280e-02 | test_full 5.999174e-02
epoch 0052 | 96.18s | train_full 6.671716e-02 | test_full 7.062848e-02
epoch 0053 | 95.14s | train_full 7.416286e-02 | test_full 6.405470e-02
