epoch 0000 | 1.04s | train_full 6.378719e-01 | test_full 3.317140e-01
epoch 0001 | 0.25s | train_full 3.350002e-01 | test_full 3.117708e-01
epoch 0002 | 0.25s | train_full 3.060329e-01 | test_full 2.876404e-01
epoch 0003 | 0.27s | train_full 2.862861e-01 | test_full 2.599889e-01
epoch 0004 | 0.28s | train_full 2.470862e-01 | test_full 2.200077e-01
epoch 0005 | 0.27s | train_full 1.852441e-01 | test_full 1.382662e-01
epoch 0006 | 0.25s | train_full 1.222555e-01 | test_full 9.313207e-02
epoch 0007 | 0.28s | train_full 8.721757e-02 | test_full 7.944603e-02
epoch 0008 | 0.28s | train_full 7.515162e-02 | test_full 7.129566e-02
epoch 0009 | 0.27s | train_full 7.416751e-02 | test_full 6.210123e-02
epoch 0010 | 0.28s | train_full 6.041485e-02 | test_full 6.156763e-02
epoch 0011 | 0.28s | train_full 6.065808e-02 | test_full 5.454308e-02
epoch 0012 | 0.26s | train_full 6.204273e-02 | test_full 5.075098e-02
epoch 0013 | 0.26s | train_full 5.480168e-02 | test_full 5.205826e-02
epoch 0014 | 0.29s | train_full 5.929421e-02 | test_full 5.432360e-02
epoch 0015 | 0.29s | train_full 5.456150e-02 | test_full 5.016615e-02
epoch 0016 | 0.29s | train_full 4.984545e-02 | test_full 4.267610e-02
epoch 0017 | 0.29s | train_full 4.466319e-02 | test_full 4.419162e-02
epoch 0018 | 0.28s | train_full 4.919680e-02 | test_full 5.473852e-02
epoch 0019 | 0.29s | train_full 4.756493e-02 | test_full 4.334201e-02
epoch 0020 | 0.29s | train_full 4.446088e-02 | test_full 3.994502e-02
epoch 0021 | 0.29s | train_full 4.093567e-02 | test_full 3.815498e-02
epoch 0022 | 0.29s | train_full 4.677920e-02 | test_full 4.967023e-02
epoch 0023 | 0.29s | train_full 4.246795e-02 | test_full 4.323020e-02
epoch 0024 | 0.28s | train_full 4.266831e-02 | test_full 3.342835e-02
epoch 0025 | 0.28s | train_full 3.684184e-02 | test_full 4.138735e-02
epoch 0026 | 0.27s | train_full 3.772364e-02 | test_full 3.255496e-02
epoch 0027 | 0.26s | train_full 3.455094e-02 | test_full 2.953890e-02
epoch 0028 | 0.26s | train_full 3.286094e-02 | test_full 3.053107e-02
epoch 0029 | 0.25s | train_full 3.390313e-02 | test_full 3.036331e-02
epoch 0030 | 0.25s | train_full 3.373632e-02 | test_full 5.240610e-02
epoch 0031 | 0.26s | train_full 4.317452e-02 | test_full 5.886723e-02
epoch 0032 | 0.26s | train_full 4.314591e-02 | test_full 3.499641e-02
epoch 0033 | 0.25s | train_full 3.130538e-02 | test_full 3.023491e-02
epoch 0034 | 0.25s | train_full 2.854054e-02 | test_full 2.605391e-02
epoch 0035 | 0.24s | train_full 2.728164e-02 | test_full 3.449431e-02
epoch 0036 | 0.25s | train_full 2.910527e-02 | test_full 2.536308e-02
epoch 0037 | 0.24s | train_full 3.039387e-02 | test_full 3.212663e-02
epoch 0038 | 0.24s | train_full 3.166237e-02 | test_full 6.953744e-02
epoch 0039 | 0.24s | train_full 4.435084e-02 | test_full 3.893032e-02
epoch 0040 | 0.24s | train_full 3.467047e-02 | test_full 4.417949e-02
epoch 0041 | 0.24s | train_full 3.262836e-02 | test_full 2.163519e-02
epoch 0042 | 0.24s | train_full 2.467376e-02 | test_full 2.114127e-02
epoch 0043 | 0.25s | train_full 2.226994e-02 | test_full 1.902996e-02
epoch 0044 | 0.25s | train_full 2.351802e-02 | test_full 2.301463e-02
epoch 0045 | 0.24s | train_full 2.745676e-02 | test_full 2.156386e-02
epoch 0046 | 0.25s | train_full 2.122355e-02 | test_full 2.452424e-02
epoch 0047 | 0.24s | train_full 2.525189e-02 | test_full 2.346544e-02
epoch 0048 | 0.24s | train_full 2.644812e-02 | test_full 2.075710e-02
epoch 0049 | 0.24s | train_full 2.308353e-02 | test_full 2.250790e-02
epoch 0050 | 0.25s | train_full 2.509071e-02 | test_full 2.448178e-02
epoch 0051 | 0.24s | train_full 2.649128e-02 | test_full 1.897803e-02
epoch 0052 | 0.25s | train_full 2.525082e-02 | test_full 2.879326e-02
epoch 0053 | 0.25s | train_full 2.393766e-02 | test_full 2.469336e-02
epoch 0054 | 0.25s | train_full 2.594762e-02 | test_full 2.715642e-02
epoch 0055 | 0.26s | train_full 4.166051e-02 | test_full 4.981070e-02
epoch 0056 | 0.24s | train_full 3.315697e-02 | test_full 2.681269e-02
epoch 0057 | 0.25s | train_full 2.431114e-02 | test_full 2.119485e-02
epoch 0058 | 0.24s | train_full 2.314650e-02 | test_full 2.067302e-02
epoch 0059 | 0.24s | train_full 2.032887e-02 | test_full 2.126612e-02
epoch 0060 | 0.25s | train_full 1.863036e-02 | test_full 2.026792e-02
epoch 0061 | 0.24s | train_full 2.241693e-02 | test_full 2.206952e-02
epoch 0062 | 0.26s | train_full 1.984875e-02 | test_full 1.855700e-02
epoch 0063 | 0.24s | train_full 2.576776e-02 | test_full 2.247768e-02
epoch 0064 | 0.26s | train_full 3.049385e-02 | test_full 2.098393e-02
epoch 0065 | 0.24s | train_full 2.233604e-02 | test_full 2.510100e-02
epoch 0066 | 0.25s | train_full 2.041938e-02 | test_full 2.242128e-02
epoch 0067 | 0.24s | train_full 2.784947e-02 | test_full 3.746278e-02
epoch 0068 | 0.24s | train_full 2.801519e-02 | test_full 3.793876e-02
epoch 0069 | 0.25s | train_full 2.935816e-02 | test_full 2.544037e-02
epoch 0070 | 0.23s | train_full 2.568630e-02 | test_full 3.313073e-02
epoch 0071 | 0.25s | train_full 2.436511e-02 | test_full 2.204395e-02
epoch 0072 | 0.25s | train_full 1.890103e-02 | test_full 1.937709e-02
epoch 0073 | 0.25s | train_full 2.385374e-02 | test_full 3.314102e-02
epoch 0074 | 0.24s | train_full 2.723377e-02 | test_full 2.423932e-02
epoch 0075 | 0.24s | train_full 1.909620e-02 | test_full 1.894730e-02
epoch 0076 | 0.25s | train_full 2.171151e-02 | test_full 1.857497e-02
epoch 0077 | 0.24s | train_full 2.221852e-02 | test_full 1.890619e-02
epoch 0078 | 0.25s | train_full 2.937923e-02 | test_full 5.116996e-02
epoch 0079 | 0.25s | train_full 4.027323e-02 | test_full 3.930655e-02
epoch 0080 | 0.25s | train_full 3.708965e-02 | test_full 2.323902e-02
epoch 0081 | 0.25s | train_full 2.203051e-02 | test_full 1.664796e-02
epoch 0082 | 0.25s | train_full 1.891420e-02 | test_full 1.649302e-02
epoch 0083 | 0.25s | train_full 1.895063e-02 | test_full 1.748599e-02
epoch 0084 | 0.24s | train_full 1.918596e-02 | test_full 1.783928e-02
epoch 0085 | 0.25s | train_full 2.592110e-02 | test_full 1.995461e-02
epoch 0086 | 0.26s | train_full 3.236414e-02 | test_full 3.380562e-02
epoch 0087 | 0.25s | train_full 3.498037e-02 | test_full 2.222153e-02
epoch 0088 | 0.25s | train_full 2.271402e-02 | test_full 1.662167e-02
epoch 0089 | 0.24s | train_full 1.918770e-02 | test_full 2.723191e-02
epoch 0090 | 0.23s | train_full 2.716653e-02 | test_full 2.215400e-02
epoch 0091 | 0.23s | train_full 2.780748e-02 | test_full 2.929785e-02
epoch 0092 | 0.25s | train_full 2.586331e-02 | test_full 2.350582e-02
epoch 0093 | 0.24s | train_full 2.093102e-02 | test_full 1.526791e-02
epoch 0094 | 0.24s | train_full 1.940057e-02 | test_full 1.878615e-02
epoch 0095 | 0.24s | train_full 2.259814e-02 | test_full 1.855236e-02
epoch 0096 | 0.24s | train_full 2.268411e-02 | test_full 2.271086e-02
epoch 0097 | 0.24s | train_full 2.208772e-02 | test_full 2.280528e-02
epoch 0098 | 0.24s | train_full 2.074036e-02 | test_full 2.003267e-02
epoch 0099 | 0.24s | train_full 1.881407e-02 | test_full 1.724966e-02
epoch 0100 | 0.24s | train_full 1.564308e-02 | test_full 1.702213e-02
epoch 0101 | 0.24s | train_full 1.569924e-02 | test_full 1.373831e-02
epoch 0102 | 0.24s | train_full 1.448863e-02 | test_full 1.474438e-02
epoch 0103 | 0.25s | train_full 1.528588e-02 | test_full 1.372961e-02
epoch 0104 | 0.25s | train_full 1.491844e-02 | test_full 1.531016e-02
epoch 0105 | 0.25s | train_full 1.497461e-02 | test_full 1.793931e-02
epoch 0106 | 0.24s | train_full 1.639635e-02 | test_full 1.774994e-02
epoch 0107 | 0.25s | train_full 1.987211e-02 | test_full 1.556682e-02
epoch 0108 | 0.25s | train_full 1.794056e-02 | test_full 2.270722e-02
epoch 0109 | 0.25s | train_full 2.180470e-02 | test_full 1.918835e-02
epoch 0110 | 0.24s | train_full 1.734481e-02 | test_full 2.187645e-02
epoch 0111 | 0.24s | train_full 1.900210e-02 | test_full 1.423811e-02
epoch 0112 | 0.26s | train_full 1.484594e-02 | test_full 1.569182e-02
epoch 0113 | 0.25s | train_full 1.482644e-02 | test_full 1.763381e-02
epoch 0114 | 0.24s | train_full 1.632361e-02 | test_full 1.791450e-02
epoch 0115 | 0.25s | train_full 1.597413e-02 | test_full 1.598834e-02
epoch 0116 | 0.24s | train_full 1.528331e-02 | test_full 1.760533e-02
epoch 0117 | 0.26s | train_full 1.652865e-02 | test_full 1.733147e-02
epoch 0118 | 0.25s | train_full 1.552358e-02 | test_full 1.543196e-02
epoch 0119 | 0.25s | train_full 1.452668e-02 | test_full 1.522695e-02
epoch 0120 | 0.24s | train_full 1.517627e-02 | test_full 1.607921e-02
epoch 0121 | 0.24s | train_full 1.570772e-02 | test_full 1.750134e-02
epoch 0122 | 0.25s | train_full 1.679520e-02 | test_full 1.950034e-02
epoch 0123 | 0.23s | train_full 1.842328e-02 | test_full 1.835118e-02
epoch 0124 | 0.24s | train_full 1.462969e-02 | test_full 1.357501e-02
epoch 0125 | 0.25s | train_full 1.476732e-02 | test_full 1.614627e-02
epoch 0126 | 0.24s | train_full 1.593007e-02 | test_full 1.578725e-02
epoch 0127 | 0.26s | train_full 1.544910e-02 | test_full 1.604638e-02
epoch 0128 | 0.26s | train_full 1.507516e-02 | test_full 1.510640e-02
epoch 0129 | 0.26s | train_full 1.482138e-02 | test_full 2.014327e-02
epoch 0130 | 0.24s | train_full 1.896978e-02 | test_full 2.021823e-02
epoch 0131 | 0.25s | train_full 1.763272e-02 | test_full 2.243086e-02
epoch 0132 | 0.24s | train_full 2.221720e-02 | test_full 2.282739e-02
epoch 0133 | 0.24s | train_full 2.194484e-02 | test_full 2.072715e-02
epoch 0134 | 0.24s | train_full 1.967203e-02 | test_full 1.597689e-02
epoch 0135 | 0.23s | train_full 1.657809e-02 | test_full 1.502950e-02
epoch 0136 | 0.24s | train_full 1.591485e-02 | test_full 1.568222e-02
epoch 0137 | 0.24s | train_full 1.534472e-02 | test_full 1.329882e-02
epoch 0138 | 0.25s | train_full 1.599908e-02 | test_full 2.556848e-02
epoch 0139 | 0.23s | train_full 2.450056e-02 | test_full 2.764706e-02
epoch 0140 | 0.23s | train_full 2.335397e-02 | test_full 1.999767e-02
epoch 0141 | 0.25s | train_full 1.793319e-02 | test_full 2.288394e-02
epoch 0142 | 0.23s | train_full 1.939003e-02 | test_full 2.095914e-02
epoch 0143 | 0.24s | train_full 1.802450e-02 | test_full 1.867836e-02
epoch 0144 | 0.24s | train_full 1.949407e-02 | test_full 1.676305e-02
epoch 0145 | 0.25s | train_full 1.661639e-02 | test_full 1.603889e-02
epoch 0146 | 0.24s | train_full 1.608012e-02 | test_full 1.902600e-02
epoch 0147 | 0.24s | train_full 1.755906e-02 | test_full 1.666905e-02
epoch 0148 | 0.25s | train_full 1.616979e-02 | test_full 2.504794e-02
epoch 0149 | 0.24s | train_full 2.036297e-02 | test_full 1.503898e-02
epoch 0150 | 0.23s | train_full 1.907773e-02 | test_full 1.650033e-02
epoch 0151 | 0.24s | train_full 1.728018e-02 | test_full 1.689157e-02
epoch 0152 | 0.24s | train_full 1.775039e-02 | test_full 1.959852e-02
epoch 0153 | 0.25s | train_full 1.687925e-02 | test_full 1.340229e-02
epoch 0154 | 0.24s | train_full 1.661451e-02 | test_full 2.074574e-02
epoch 0155 | 0.25s | train_full 1.618465e-02 | test_full 1.653823e-02
epoch 0156 | 0.24s | train_full 1.761461e-02 | test_full 1.773656e-02
epoch 0157 | 0.24s | train_full 1.668205e-02 | test_full 2.028117e-02
epoch 0158 | 0.25s | train_full 1.927735e-02 | test_full 1.782349e-02
epoch 0159 | 0.24s | train_full 1.835761e-02 | test_full 1.691920e-02
epoch 0160 | 0.23s | train_full 1.854538e-02 | test_full 1.492098e-02
epoch 0161 | 0.24s | train_full 1.722796e-02 | test_full 1.868872e-02
epoch 0162 | 0.24s | train_full 2.095652e-02 | test_full 2.745420e-02
epoch 0163 | 0.25s | train_full 2.002915e-02 | test_full 1.353924e-02
epoch 0164 | 0.24s | train_full 1.770550e-02 | test_full 1.842317e-02
epoch 0165 | 0.24s | train_full 1.862007e-02 | test_full 1.736270e-02
epoch 0166 | 0.23s | train_full 1.721710e-02 | test_full 1.359033e-02
epoch 0167 | 0.24s | train_full 1.833139e-02 | test_full 1.501323e-02
epoch 0168 | 0.24s | train_full 1.912718e-02 | test_full 1.840678e-02
epoch 0169 | 0.25s | train_full 2.010680e-02 | test_full 1.744020e-02
epoch 0170 | 0.25s | train_full 2.129868e-02 | test_full 2.652814e-02
epoch 0171 | 0.25s | train_full 1.760251e-02 | test_full 1.791468e-02
epoch 0172 | 0.25s | train_full 1.765132e-02 | test_full 1.928773e-02
epoch 0173 | 0.24s | train_full 1.820625e-02 | test_full 1.652114e-02
epoch 0174 | 0.24s | train_full 1.426247e-02 | test_full 1.474069e-02
epoch 0175 | 0.24s | train_full 1.505090e-02 | test_full 2.287814e-02
epoch 0176 | 0.25s | train_full 1.661933e-02 | test_full 1.422620e-02
epoch 0177 | 0.23s | train_full 1.684845e-02 | test_full 1.799170e-02
epoch 0178 | 0.25s | train_full 2.084895e-02 | test_full 2.457195e-02
epoch 0179 | 0.25s | train_full 2.263276e-02 | test_full 2.099849e-02
epoch 0180 | 0.24s | train_full 2.204370e-02 | test_full 1.601425e-02
epoch 0181 | 0.25s | train_full 1.967403e-02 | test_full 2.172021e-02
epoch 0182 | 0.23s | train_full 3.897723e-02 | test_full 4.790550e-02
epoch 0183 | 0.24s | train_full 3.876308e-02 | test_full 2.742576e-02
epoch 0184 | 0.25s | train_full 2.409934e-02 | test_full 2.171402e-02
epoch 0185 | 0.24s | train_full 1.971380e-02 | test_full 2.092744e-02
epoch 0186 | 0.24s | train_full 1.789461e-02 | test_full 1.696662e-02
epoch 0187 | 0.24s | train_full 1.508861e-02 | test_full 1.566529e-02
epoch 0188 | 0.24s | train_full 1.432765e-02 | test_full 1.492348e-02
epoch 0189 | 0.24s | train_full 1.549004e-02 | test_full 1.646786e-02
epoch 0190 | 0.24s | train_full 1.650287e-02 | test_full 1.854532e-02
epoch 0191 | 0.25s | train_full 1.807648e-02 | test_full 2.068690e-02
epoch 0192 | 0.25s | train_full 2.108791e-02 | test_full 1.697318e-02
epoch 0193 | 0.25s | train_full 1.954778e-02 | test_full 2.753076e-02
epoch 0194 | 0.25s | train_full 1.811097e-02 | test_full 1.653469e-02
epoch 0195 | 0.25s | train_full 1.512951e-02 | test_full 1.366851e-02
epoch 0196 | 0.24s | train_full 1.557737e-02 | test_full 1.350070e-02
epoch 0197 | 0.24s | train_full 1.475444e-02 | test_full 1.682656e-02
epoch 0198 | 0.25s | train_full 1.568364e-02 | test_full 1.400295e-02
epoch 0199 | 0.25s | train_full 1.517347e-02 | test_full 1.642498e-02
epoch 0200 | 0.25s | train_full 1.415264e-02 | test_full 1.603139e-02
epoch 0201 | 0.24s | train_full 1.408650e-02 | test_full 1.289624e-02
epoch 0202 | 0.23s | train_full 1.502009e-02 | test_full 1.896014e-02
epoch 0203 | 0.23s | train_full 1.526084e-02 | test_full 1.397122e-02
epoch 0204 | 0.25s | train_full 1.453112e-02 | test_full 1.459642e-02
epoch 0205 | 0.25s | train_full 1.486342e-02 | test_full 1.509691e-02
epoch 0206 | 0.25s | train_full 1.412095e-02 | test_full 1.482574e-02
epoch 0207 | 0.25s | train_full 1.428618e-02 | test_full 1.384775e-02
epoch 0208 | 0.25s | train_full 1.373890e-02 | test_full 1.411665e-02
epoch 0209 | 0.26s | train_full 1.447369e-02 | test_full 1.601121e-02
epoch 0210 | 0.25s | train_full 1.477805e-02 | test_full 1.330542e-02
epoch 0211 | 0.25s | train_full 1.314618e-02 | test_full 1.507449e-02
epoch 0212 | 0.25s | train_full 1.381421e-02 | test_full 1.476629e-02
epoch 0213 | 0.24s | train_full 1.410089e-02 | test_full 1.439354e-02
epoch 0214 | 0.26s | train_full 1.425161e-02 | test_full 1.915660e-02
epoch 0215 | 0.25s | train_full 1.802551e-02 | test_full 1.640997e-02
epoch 0216 | 0.24s | train_full 1.562463e-02 | test_full 1.436224e-02
epoch 0217 | 0.25s | train_full 1.543200e-02 | test_full 1.590226e-02
epoch 0218 | 0.25s | train_full 1.417474e-02 | test_full 1.507925e-02
epoch 0219 | 0.25s | train_full 1.478205e-02 | test_full 1.276381e-02
epoch 0220 | 0.25s | train_full 1.344254e-02 | test_full 1.353627e-02
epoch 0221 | 0.26s | train_full 1.352727e-02 | test_full 1.345000e-02
epoch 0222 | 0.24s | train_full 1.346951e-02 | test_full 1.589122e-02
epoch 0223 | 0.24s | train_full 1.546984e-02 | test_full 1.469018e-02
epoch 0224 | 0.27s | train_full 1.416495e-02 | test_full 1.340194e-02
epoch 0225 | 0.25s | train_full 1.351895e-02 | test_full 1.494229e-02
epoch 0226 | 0.29s | train_full 1.303301e-02 | test_full 1.267692e-02
epoch 0227 | 0.25s | train_full 1.294701e-02 | test_full 1.403640e-02
epoch 0228 | 0.28s | train_full 1.391171e-02 | test_full 1.385032e-02
epoch 0229 | 0.27s | train_full 1.452264e-02 | test_full 1.471977e-02
epoch 0230 | 0.27s | train_full 1.423147e-02 | test_full 1.527645e-02
epoch 0231 | 0.28s | train_full 1.457581e-02 | test_full 1.344131e-02
epoch 0232 | 0.24s | train_full 1.483158e-02 | test_full 1.558151e-02
epoch 0233 | 0.23s | train_full 1.411544e-02 | test_full 1.333151e-02
epoch 0234 | 0.24s | train_full 1.413303e-02 | test_full 1.334956e-02
epoch 0235 | 0.24s | train_full 1.434255e-02 | test_full 1.612128e-02
epoch 0236 | 0.23s | train_full 1.504076e-02 | test_full 1.405822e-02
epoch 0237 | 0.25s | train_full 1.379260e-02 | test_full 1.419579e-02
epoch 0238 | 0.24s | train_full 1.546267e-02 | test_full 1.661141e-02
epoch 0239 | 0.23s | train_full 1.475218e-02 | test_full 1.400822e-02
epoch 0240 | 0.23s | train_full 1.359828e-02 | test_full 1.497888e-02
epoch 0241 | 0.24s | train_full 1.372506e-02 | test_full 1.340355e-02
epoch 0242 | 0.25s | train_full 1.342299e-02 | test_full 1.510937e-02
