step,mse
0,0.027753671631217003
1,0.023483583703637123
2,0.026528656482696533
3,0.028702521696686745
4,0.03158783167600632
5,0.03774590045213699
6,0.044747136533260345
7,0.05126376077532768
8,0.0568079948425293
9,0.06394243240356445
10,0.0742068961262703
11,0.0807429850101471
12,0.08949925005435944
13,0.09729728102684021
14,0.10665775835514069
15,0.11718045175075531
16,0.12612353265285492
17,0.13455471396446228
18,0.14299605786800385
19,0.15238063037395477
20,0.1605500429868698
21,0.16631659865379333
22,0.1713794469833374
23,0.17693224549293518
24,0.18331727385520935
25,0.19025516510009766
26,0.1968633234500885
27,0.20232410728931427
28,0.2055913656949997
29,0.20741617679595947
30,0.2092473953962326
31,0.21298301219940186
32,0.21786022186279297
33,0.22136327624320984
34,0.2224310338497162
35,0.2217610627412796
36,0.22184641659259796
37,0.22478699684143066
38,0.23034138977527618
39,0.23681290447711945
