epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,params,lr
0,68.821191,6.27089491e-01,6.49912937e-01,5.56249172e-01,5.91568940e-01,1.50400436e+01,1.57619533e-01,1.22726190e+01,5.10829258e-02,571883,5.00000000e-04
1,67.557790,4.54040178e-01,4.77714654e-01,3.77488844e-01,3.92696785e-01,8.15248019e+00,6.25427157e-02,5.45719230e+00,6.82600576e-02,571883,5.00000000e-04
2,64.960052,3.69450008e-01,3.84878913e-01,3.63343761e-01,3.78593687e-01,5.24852448e+00,6.34039129e-02,5.09784567e+00,5.47615555e-02,571883,5.00000000e-04
3,65.393595,3.39319732e-01,3.53879564e-01,3.27978752e-01,3.42728863e-01,4.43392526e+00,5.00663101e-02,4.15728343e+00,4.24379158e-02,571883,5.00000000e-04
4,64.814035,3.12550600e-01,3.27023365e-01,2.95352571e-01,3.09704188e-01,3.79477656e+00,3.69775813e-02,3.41884335e+00,2.99296875e-02,571883,5.00000000e-04
5,66.890161,2.96526402e-01,3.11245133e-01,2.84189657e-01,2.99121742e-01,3.45048125e+00,2.74627721e-02,3.16874374e+00,2.43599129e-02,571883,5.00000000e-04
6,66.875899,2.80728911e-01,2.94819089e-01,2.63375533e-01,2.77239244e-01,3.10332398e+00,2.15541693e-02,2.72634758e+00,1.74677727e-02,571883,5.00000000e-04
7,65.399414,2.59885661e-01,2.74315004e-01,2.56262597e-01,2.69793923e-01,2.68684862e+00,1.60905653e-02,2.60797430e+00,1.22972707e-02,571883,5.00000000e-04
8,66.590557,2.45958422e-01,2.59814926e-01,2.57751101e-01,2.74259087e-01,2.41168340e+00,1.32062328e-02,2.67032429e+00,1.24981510e-02,571883,5.00000000e-04
9,67.042123,2.38351840e-01,2.52718235e-01,2.33109281e-01,2.46914904e-01,2.28200685e+00,1.08400910e-02,2.16504566e+00,1.06785083e-02,571883,5.00000000e-04
10,66.352991,2.24999619e-01,2.38367648e-01,2.32617189e-01,2.48679394e-01,2.03103237e+00,9.57772147e-03,2.20439711e+00,7.70154420e-03,571883,5.00000000e-04
11,67.919834,2.15273244e-01,2.27942975e-01,2.18208074e-01,2.33435965e-01,1.85077873e+00,8.58665103e-03,1.95002121e+00,8.14975966e-03,571883,5.00000000e-04
12,65.193062,2.05818141e-01,2.17029790e-01,1.89183504e-01,1.98668380e-01,1.67536892e+00,8.00649898e-03,1.39748998e+00,7.93165341e-03,571883,5.00000000e-04
13,67.166085,1.90595033e-01,2.00074652e-01,1.89884813e-01,1.99337990e-01,1.41868302e+00,7.50685602e-03,1.40600389e+00,7.21987326e-03,571883,5.00000000e-04
14,66.393637,1.85897859e-01,1.95085956e-01,1.82489482e-01,1.91585181e-01,1.34867523e+00,6.97375776e-03,1.29827526e+00,7.11750999e-03,571883,5.00000000e-04
15,69.305668,1.76689446e-01,1.84937380e-01,1.79885385e-01,1.91011648e-01,1.21182089e+00,6.65407244e-03,1.29383917e+00,6.61951445e-03,571883,5.00000000e-04
16,64.548098,1.69952958e-01,1.77750831e-01,1.61363303e-01,1.68823976e-01,1.11828976e+00,6.30624580e-03,1.00912521e+00,6.12599539e-03,571883,5.00000000e-04
17,65.928907,1.62726617e-01,1.70054507e-01,1.51888205e-01,1.58317583e-01,1.02344500e+00,5.93618857e-03,8.86811823e-01,5.76085845e-03,571883,5.00000000e-04
18,64.807677,1.60819937e-01,1.68153131e-01,1.54606628e-01,1.61762167e-01,1.00150794e+00,5.68142322e-03,9.27993962e-01,5.48732251e-03,571883,5.00000000e-04
19,66.236975,1.57283031e-01,1.64774452e-01,1.82903672e-01,1.93747935e-01,9.63430870e-01,5.41816377e-03,1.34245785e+00,5.45855425e-03,571883,5.00000000e-04
20,65.033355,1.58642089e-01,1.66250598e-01,1.69227294e-01,1.77333133e-01,9.83673480e-01,5.18235743e-03,1.11495323e+00,4.99673283e-03,571883,5.00000000e-04
21,65.538009,1.55248802e-01,1.62342946e-01,1.69697864e-01,1.79398359e-01,9.40255121e-01,4.97434320e-03,1.15288790e+00,4.90377884e-03,571883,5.00000000e-04
22,69.051190,1.48915935e-01,1.55583493e-01,1.38129970e-01,1.43827981e-01,8.59361516e-01,4.80702223e-03,7.34193155e-01,4.73350678e-03,571883,5.00000000e-04
23,65.157393,1.43680978e-01,1.50232656e-01,1.53788643e-01,1.64152671e-01,8.01382456e-01,4.55166531e-03,9.54267892e-01,4.27864736e-03,571883,5.00000000e-04
24,67.790566,1.45320036e-01,1.52791904e-01,1.40203132e-01,1.47199119e-01,8.35877548e-01,4.38499102e-03,7.69693723e-01,4.34778268e-03,571883,5.00000000e-04
25,67.224035,1.38538350e-01,1.44475219e-01,1.35129272e-01,1.40602889e-01,7.41006383e-01,4.20366356e-03,7.02871752e-01,4.21666680e-03,571883,5.00000000e-04
