step,mse
0,5.97995073e-02
1,8.76728818e-02
2,1.22540265e-01
3,1.58219725e-01
4,1.94054872e-01
5,2.39340454e-01
6,3.02086383e-01
7,3.84241134e-01
8,4.53162789e-01
9,5.16309142e-01
10,5.47393322e-01
11,5.57427168e-01
12,5.61737776e-01
13,5.67469299e-01
14,5.79594851e-01
15,5.92515171e-01
16,6.21269464e-01
17,6.72056496e-01
18,7.33173072e-01
19,8.22574437e-01
20,9.25976813e-01
21,9.87868488e-01
22,1.03821146e+00
23,1.07921290e+00
24,1.11369658e+00
25,1.16430700e+00
26,1.24010813e+00
27,1.33487940e+00
28,1.40287614e+00
29,1.45491695e+00
30,1.49614346e+00
31,1.53594363e+00
32,1.58925343e+00
33,1.64325345e+00
34,1.69277906e+00
35,1.75402009e+00
36,1.82722688e+00
37,1.91514063e+00
38,2.03183913e+00
39,2.16098642e+00
