step,mse
0,1.91488732e-02
1,3.09968535e-02
2,4.25923355e-02
3,4.99671660e-02
4,6.47915751e-02
5,8.26615989e-02
6,9.74150002e-02
7,1.16926342e-01
8,1.35927901e-01
9,1.54212549e-01
10,1.75688967e-01
11,1.97633490e-01
12,2.17641503e-01
13,2.36679837e-01
14,2.56769449e-01
15,2.75758535e-01
16,2.92525887e-01
17,3.10170889e-01
18,3.26975942e-01
19,3.42814088e-01
20,3.58518690e-01
21,3.72450113e-01
22,3.84038150e-01
23,3.95604968e-01
24,4.08286810e-01
25,4.21036750e-01
26,4.32013333e-01
27,4.39914972e-01
28,4.43756700e-01
29,4.46184307e-01
30,4.51347947e-01
31,4.60426629e-01
32,4.69960779e-01
33,4.75429386e-01
34,4.75929350e-01
35,4.74636674e-01
36,4.75528479e-01
37,4.80285555e-01
38,4.87200707e-01
39,4.92769539e-01
