step,mse
0,1.66203491e-02
1,2.81500034e-02
2,4.36009318e-02
3,5.65209351e-02
4,6.86447397e-02
5,8.10544193e-02
6,9.01348293e-02
7,1.01147674e-01
8,1.14716619e-01
9,1.28088355e-01
10,1.45243123e-01
11,1.64270952e-01
12,1.85119301e-01
13,2.06196234e-01
14,2.27524847e-01
15,2.47519612e-01
16,2.65436143e-01
17,2.83486962e-01
18,3.01299006e-01
19,3.18570375e-01
20,3.35350484e-01
21,3.50600123e-01
22,3.64453673e-01
23,3.78256887e-01
24,3.92804056e-01
25,4.06879187e-01
26,4.18617517e-01
27,4.26003754e-01
28,4.28661942e-01
29,4.29755926e-01
30,4.33665663e-01
31,4.41747427e-01
32,4.50448453e-01
33,4.54585075e-01
34,4.53019679e-01
35,4.49299008e-01
36,4.48039889e-01
37,4.51147050e-01
38,4.56879884e-01
39,4.61337000e-01
