step,mse
0,1.17699979e-02
1,1.32135544e-02
2,1.32089434e-02
3,1.20135974e-02
4,1.13322642e-02
5,1.10706044e-02
6,9.81283467e-03
7,9.89465974e-03
8,1.16844513e-02
9,1.18929744e-02
10,1.36386212e-02
11,1.33434096e-02
12,1.29474998e-02
13,1.23391571e-02
14,1.17134284e-02
15,1.14391185e-02
16,1.12168901e-02
17,1.11002466e-02
18,1.12355677e-02
19,1.10451784e-02
20,1.09338537e-02
21,1.06023382e-02
22,1.02811810e-02
23,9.99330729e-03
24,9.73592792e-03
25,9.55527090e-03
26,9.40987561e-03
27,9.26921796e-03
28,9.15514864e-03
29,9.01056267e-03
30,8.88244435e-03
31,8.75582639e-03
32,8.65070149e-03
33,8.57108459e-03
34,8.51256773e-03
35,8.47484078e-03
36,8.45362619e-03
37,8.44470225e-03
38,8.44990090e-03
39,8.46696366e-03
