step,mse
0,3.73215135e-03
1,3.70265637e-03
2,4.24155593e-03
3,4.60228883e-03
4,3.89400241e-03
5,3.66006978e-03
6,3.55951185e-03
7,3.72155011e-03
8,4.68677329e-03
9,4.62038582e-03
10,6.24293275e-03
11,6.28628721e-03
12,6.25795405e-03
13,6.33806828e-03
14,5.99247776e-03
15,5.96974604e-03
16,6.17400417e-03
17,6.28762972e-03
18,7.01185828e-03
19,7.11935386e-03
20,7.66705209e-03
21,7.79585401e-03
22,7.76698347e-03
23,7.88036268e-03
24,7.89712463e-03
25,8.03175289e-03
26,8.39097146e-03
27,8.60792678e-03
28,9.11081210e-03
29,9.34968144e-03
30,9.65041015e-03
31,9.87372082e-03
32,1.00082709e-02
33,1.02288462e-02
34,1.04765007e-02
35,1.07414089e-02
36,1.11527313e-02
37,1.14671765e-02
38,1.18755577e-02
39,1.21915396e-02
