epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,params,lr
0,100.124276,8.39437377e-01,8.81114653e-01,8.01872284e-01,8.58463535e-01,8.74825299e+01,2.24644439e-01,8.37044281e+01,1.09060583e-01,915585,5.00000000e-04
1,108.296964,7.55203203e-01,8.15689009e-01,7.41621311e-01,7.99197998e-01,7.49754339e+01,7.11006508e-02,7.28706566e+01,6.74563780e-02,915585,5.00000000e-04
2,110.301544,7.11253968e-01,7.74366460e-01,7.26960796e-01,7.86208186e-01,6.77092562e+01,6.50650129e-02,7.02091331e+01,7.17635161e-02,915585,5.00000000e-04
3,107.086928,6.87924471e-01,7.49196581e-01,6.62162041e-01,7.21227145e-01,6.35416489e+01,6.84950681e-02,6.01733414e+01,6.96856451e-02,915585,5.00000000e-04
4,111.641805,6.51697960e-01,7.10520952e-01,6.85718037e-01,7.55484190e-01,5.77264242e+01,6.87544830e-02,6.57287188e+01,5.64536822e-02,915585,5.00000000e-04
5,109.388315,6.50725243e-01,7.11018857e-01,6.43807238e-01,6.98644571e-01,5.79189172e+01,5.82007760e-02,5.66209076e+01,5.27295850e-02,915585,5.00000000e-04
6,111.440991,6.28263628e-01,6.85445196e-01,6.46983837e-01,7.09118068e-01,5.39737263e+01,5.06090524e-02,5.83154207e+01,5.22228533e-02,915585,5.00000000e-04
7,107.997982,6.22539453e-01,6.79422921e-01,5.91229351e-01,6.40231426e-01,5.32129214e+01,4.91051731e-02,4.77754360e+01,5.00995311e-02,915585,5.00000000e-04
8,109.986696,6.14817320e-01,6.69230510e-01,5.89238464e-01,6.41201923e-01,5.16318002e+01,4.59364839e-02,4.79509832e+01,4.23364277e-02,915585,5.00000000e-04
9,110.431944,6.03261351e-01,6.57283112e-01,5.68295164e-01,6.16433470e-01,4.99300542e+01,4.55379791e-02,4.43650082e+01,4.40936637e-02,915585,5.00000000e-04
