step,mse
0,2.06341632e-04
1,2.11514533e-04
2,2.36947890e-04
3,2.45616538e-04
4,2.44841678e-04
5,2.38814944e-04
6,2.33928018e-04
7,2.25549185e-04
8,2.20526432e-04
9,2.17694847e-04
10,2.16496570e-04
11,2.24797448e-04
12,2.30812715e-04
13,2.35154686e-04
14,2.37140208e-04
15,2.36685781e-04
16,2.34419815e-04
17,2.31312777e-04
18,2.28173856e-04
19,2.25647993e-04
20,2.24087606e-04
21,2.23707291e-04
22,2.24485455e-04
23,2.25969910e-04
24,2.27841592e-04
25,2.29952071e-04
26,2.32012957e-04
27,2.34117411e-04
28,2.36376509e-04
29,2.38843742e-04
30,2.41677670e-04
31,2.45029194e-04
32,2.49187957e-04
33,2.54304090e-04
34,2.60680739e-04
35,2.68391683e-04
36,2.77751649e-04
37,2.88994866e-04
38,3.02493747e-04
39,3.18820705e-04
