step,mse
0,2.84715891e-02
1,3.25980335e-02
2,3.48930955e-02
3,3.60122696e-02
4,3.50080878e-02
5,3.49562056e-02
6,3.60472575e-02
7,4.01043221e-02
8,4.49359231e-02
9,4.89165932e-02
10,5.80114089e-02
11,6.08993806e-02
12,6.27389178e-02
13,6.51021823e-02
14,6.78025931e-02
15,7.12284967e-02
16,7.47292340e-02
17,7.91657567e-02
18,8.46352801e-02
19,9.07404795e-02
20,9.79037508e-02
21,1.04208142e-01
22,1.09826453e-01
23,1.16224289e-01
24,1.23354733e-01
25,1.30257741e-01
26,1.36694729e-01
27,1.41892329e-01
28,1.44361705e-01
29,1.44219816e-01
30,1.43733606e-01
31,1.44589409e-01
32,1.47467360e-01
33,1.50594488e-01
34,1.51972145e-01
35,1.51800960e-01
36,1.51966721e-01
37,1.53301701e-01
38,1.55854583e-01
39,1.59679830e-01
