step,mse
0,5.51655656e-03
1,5.34787355e-03
2,5.07815974e-03
3,4.83375415e-03
4,4.59360471e-03
5,4.36598202e-03
6,4.16960102e-03
7,4.01512487e-03
8,3.90731916e-03
9,3.84741905e-03
10,3.98752373e-03
11,3.92787345e-03
12,3.80159263e-03
13,3.67918424e-03
14,3.57204676e-03
15,3.48502304e-03
16,3.42041370e-03
17,3.37525108e-03
18,3.34143173e-03
19,3.31633422e-03
20,3.30331177e-03
21,3.30058765e-03
22,3.31404898e-03
23,3.34728230e-03
24,3.40096327e-03
25,3.47501645e-03
26,3.56887933e-03
27,3.68260592e-03
28,3.81637644e-03
29,3.97076737e-03
30,4.14645160e-03
31,4.34402516e-03
32,4.56347317e-03
33,4.80457116e-03
34,5.06731821e-03
35,5.35153784e-03
36,5.65763190e-03
37,5.98580251e-03
38,6.33609947e-03
39,6.70849066e-03
