stage,paper_method,dataset,horizon,run_name,record_class,execution_status,scientific_interpretation,seed,epochs,mean_step_mse,mean_step_rel_l2,full_rollout_rel_l2,params,mean_epoch_seconds,paper_use,source,notes
stage0,KNO,Burgers,1,kno_koopmanlab_burgers_o32_m16_r8_ep500_seed42,paper_candidate,completed,usable_preliminary,42,500,2.87372627e-05,,,33921,0.179174,main_table,outputs/stage0_kno_baseline/kno_koopmanlab_burgers_o32_m16_r8_ep500_seed42/metrics.csv,Official KoopmanLab wrapper; relative L2 was not exported
stage0,KNO,Navier-Stokes nu=1e-3,40,kno_koopmanlab_ns_v1e3_o32_m16_r8_t40_ep500_lr001_seed42_rerun1,paper_candidate,completed,usable_preliminary,42,500,2.36957523e-04,,,526026,57.455673,main_table,outputs/stage0_kno_baseline/kno_koopmanlab_ns_v1e3_o32_m16_r8_t40_ep500_lr001_seed42_rerun1/metrics.csv,Stability rerun with lr=0.001; relative L2 was not exported
stage0,KNO,Navier-Stokes nu=1e-4,40,kno_koopmanlab_ns_v1e4_o32_m16_r8_t40_ep500_lr001_seed42_rerun1,paper_candidate,completed,negative_valid,42,500,6.767657995e-01,,,526026,56.490467,main_table,outputs/stage0_kno_baseline/kno_koopmanlab_ns_v1e4_o32_m16_r8_t40_ep500_lr001_seed42_rerun1/metrics.csv,Completed without numerical crash but absolute error is poor
stage0,KNO,Shallow water,40,kno_koopmanlab_shallow_water_o32_m16_r8_t40_ep500_seed42,paper_candidate,completed,usable_preliminary,42,500,6.91333626e-05,,,526026,101.285587,main_table,outputs/stage0_kno_baseline/kno_koopmanlab_shallow_water_o32_m16_r8_t40_ep500_seed42/metrics.csv,Relative L2 was not exported
stage1,AM-KNO,Burgers,1,amkno_burgers_o32_allfreq_r8_ep500_seed42,paper_candidate,completed,usable_preliminary,42,500,1.26655257e-04,1.59959376e-02,1.59959376e-02,286242,0.177210,main_table,outputs/stage1_0_am_kno/amkno_burgers_o32_allfreq_r8_ep500_seed42/metrics.csv,Final epoch only; no test-set best-epoch selection
stage1,AM-KNO,Navier-Stokes nu=1e-3,40,amkno_ns_v1e3_o32_allfreq_fact1_r8_t40_ep500_seed42,paper_candidate,completed,usable_preliminary,42,500,1.19811212e-03,3.50339922e-02,3.67230849e-02,571883,68.976699,main_table,outputs/stage1_0_am_kno/amkno_ns_v1e3_o32_allfreq_fact1_r8_t40_ep500_seed42/metrics.csv,Mean-step MSE equals final test_pred_mse divided by 40
stage1,AM-KNO,Navier-Stokes nu=1e-4,40,amkno_ns_v1e4_o32_allfreq_fact1_r8_t40_ep500_seed42,paper_candidate,completed,negative_valid,42,500,9.54031955e-01,5.16785685e-01,5.65410600e-01,571883,66.144950,main_table,outputs/stage1_0_am_kno/amkno_ns_v1e4_o32_allfreq_fact1_r8_t40_ep500_seed42/metrics.csv,Completed but the 40-step absolute and relative errors remain high
stage3,Param-KNO,Burgers,1,pkno_burgers_o32_m16_r8_ep500_seed42,paper_candidate,completed,usable_preliminary,42,500,3.11519887e-05,5.16257055e-03,5.16257055e-03,411001,0.238897,main_table,outputs/stage3_0_param_kno/pkno_burgers_o32_m16_r8_ep500_seed42/metrics.csv,Final epoch only; strongest current relative L2 on Burgers
stage3,Param-KNO,Navier-Stokes nu=1e-3,40,pkno_ns_v1e3_o32_m16_r8_t40_ep500_seed42,paper_candidate,completed,usable_preliminary,42,500,2.39723389e-04,1.57029547e-02,1.63161711e-02,915585,100.842476,main_table,outputs/stage3_0_param_kno/pkno_ns_v1e3_o32_m16_r8_t40_ep500_seed42/metrics.csv,Mean-step MSE is within 1.2 percent of the KNO rerun
stage3,Param-KNO,Navier-Stokes nu=1e-4,20,pkno_ns_v1e4_o32_m16_r8_t20_ep500_seed42,diagnostic_only,completed,protocol_mismatch,42,500,7.56322945e-02,1.45301557e-01,1.69386485e-01,915585,52.527040,exclude_main_table,outputs/stage3_0_param_kno/pkno_ns_v1e4_o32_m16_r8_t20_ep500_seed42/metrics.csv,20-step horizon is not comparable to the 40-step main protocol
